STATE,AGE,POP_TOT,POP_CIT,VOTES_TOT,VRATE_TOT,VRATE_CIT
WASHINGTON,AG1_18_24,592,522,127,21.4,24.3
WASHINGTON,AG2_25_34,"1,008",840,247,24.5,29.4
WASHINGTON,AG3_35_44,908,773,345,38.0,44.6
WASHINGTON,AG4_45_64,"1,796","1,655",981,54.6,59.3
WASHINGTON,AG5_65+,"1,029",986,690,67.1,70.0
WEST VIRGINIA,TOTAL,"1,449","1,440",484,33.4,33.6
WEST VIRGINIA,AG1_18_24,185,183,26,14.3,14.4
WEST VIRGINIA,AG2_25_34,206,204,41,19.8,20.0
WEST VIRGINIA,AG3_35_44,216,212,63,29.1,29.5
WEST VIRGINIA,AG4_45_64,505,504,189,37.4,37.4
WEST VIRGINIA,AG5_65+,338,338,165,49.0,49.0
WISCONSIN,TOTAL,"4,356","4,232","2,343",53.8,55.4
WISCONSIN,AG1_18_24,489,470,131,26.9,27.9
WISCONSIN,AG2_25_34,756,724,287,38.0,39.6
WISCONSIN,AG3_35_44,661,639,336,50.8,52.6
WISCONSIN,AG4_45_64,"1,656","1,604","1,041",62.9,64.9
WISCONSIN,AG5_65+,795,794,548,68.9,68.9
WYOMING,TOTAL,441,427,172,39.1,40.3
WYOMING,AG1_18_24,52,51,7,,
WYOMING,AG2_25_34,80,75,21,26.7,28.4
WYOMING,AG3_35_44,73,70,21,,
WYOMING,AG4_45_64,153,151,75,49.0,49.5
WYOMING,AG5_65+,82,80,48,58.3,60.1
