YEAR,STATE,AGE.NEW,POP_TOT,POP_CIT,VOTES_TOT,VRATE.TOT,VRATE.CIT,state.abb
Y2016,nebraska,AB1_18_24,190,180,95,50,52.78,NE
Y2016,nebraska,AB2_25+,1217,1157,797,65.49,68.89,NE
Y2016,nevada,AB1_18_24,261,229,98,37.55,42.79,NV
Y2016,nevada,AB2_25+,1972,1746,1097,55.63,62.83,NV
Y2016,new hampshire,AB1_18_24,98,96,55,56.12,57.29,NH
Y2016,new hampshire,AB2_25+,945,914,643,68.04,70.35,NH
Y2016,new jersey,AB1_18_24,849,750,305,35.92,40.67,NJ
Y2016,new jersey,AB2_25+,6013,5208,3360,55.88,64.52,NJ
Y2016,new mexico,AB1_18_24,241,223,91,37.76,40.81,NM
Y2016,new mexico,AB2_25+,1306,1173,674,51.61,57.46,NM
Y2016,new york,AB1_18_24,1756,1590,607,34.57,38.18,NY
Y2016,new york,AB2_25+,13751,12161,7261,52.8,59.71,NY
Y2016,north carolina,AB1_18_24,924,817,414,44.81,50.67,NC
Y2016,north carolina,AB2_25+,6707,6144,4285,63.89,69.74,NC
Y2016,north dakota,AB1_18_24,79,78,37,46.84,47.44,ND
Y2016,north dakota,AB2_25+,503,487,325,64.61,66.74,ND
Y2016,ohio,AB1_18_24,1075,1060,425,39.53,40.09,OH
Y2016,ohio,AB2_25+,7736,7438,4984,64.43,67.01,OH
Y2016,oklahoma,AB1_18_24,316,303,102,32.28,33.66,OK
Y2016,oklahoma,AB2_25+,2608,2444,1453,55.71,59.45,OK
Y2016,oregon,AB1_18_24,345,320,156,45.22,48.75,OR
Y2016,oregon,AB2_25+,2840,2608,1786,62.89,68.48,OR
Y2016,pennsylvania,AB1_18_24,1193,1130,581,48.7,51.42,PA
Y2016,pennsylvania,AB2_25+,8788,8466,5427,61.75,64.1,PA
Y2016,rhode island,AB1_18_24,81,69,34,41.98,49.28,RI
Y2016,rhode island,AB2_25+,755,697,432,57.22,61.98,RI
Y2016,south carolina,AB1_18_24,341,332,146,42.82,43.98,SC
Y2016,south carolina,AB2_25+,3393,3265,2088,61.54,63.95,SC
Y2016,south dakota,AB1_18_24,84,81,26,30.95,32.1,SD
Y2016,south dakota,AB2_25+,546,531,337,61.72,63.47,SD
Y2016,tennessee,AB1_18_24,523,503,156,29.83,31.01,TN
Y2016,tennessee,AB2_25+,4533,4370,2474,54.58,56.61,TN
Y2016,texas,AB1_18_24,2542,2175,694,27.3,31.91,TX
Y2016,texas,AB2_25+,17629,15202,8933,50.67,58.76,TX
Y2016,utah,AB1_18_24,342,326,142,41.52,43.56,UT
Y2016,utah,AB2_25+,1754,1643,1092,62.26,66.46,UT
Y2016,vermont,AB1_18_24,57,55,26,45.61,47.27,VT
Y2016,vermont,AB2_25+,442,433,280,63.35,64.67,VT
Y2016,virginia,AB1_18_24,819,737,447,54.58,60.65,VA
Y2016,virginia,AB2_25+,5523,5093,3525,63.82,69.21,VA
Y2016,washington,AB1_18_24,646,594,273,42.26,45.96,WA
Y2016,washington,AB2_25+,4945,4510,3110,62.89,68.96,WA
Y2016,west virginia,AB1_18_24,155,153,50,32.26,32.68,WV
Y2016,west virginia,AB2_25+,1279,1272,673,52.62,52.91,WV
Y2016,wisconsin,AB1_18_24,547,530,249,45.52,46.98,WI
Y2016,wisconsin,AB2_25+,3918,3824,2819,71.95,73.72,WI
Y2016,wyoming,AB1_18_24,57,55,30,52.63,54.55,WY
Y2016,wyoming,AB2_25+,379,372,247,65.17,66.4,WY
