STATE,AGE,POP_TOT,POP_CIT,VOTES_TOT,VRATE_TOT,VRATE_CIT
MICHIGAN,AG4_45_64,"2,848","2,740","1,962",68.9,71.6
MICHIGAN,AG5_65+,"1,480","1,462","1,088",73.5,74.4
MINNESOTA,TOTAL,"4,190","3,985","2,738",65.3,68.7
MINNESOTA,AG1_18_24,524,476,260,49.6,54.7
MINNESOTA,AG2_25_34,708,674,435,61.4,64.5
MINNESOTA,AG3_35_44,684,625,438,64.1,70.1
MINNESOTA,AG4_45_64,"1,503","1,441","1,047",69.7,72.6
MINNESOTA,AG5_65+,772,769,558,72.3,72.6
MISSISSIPPI,TOTAL,"2,203","2,170","1,470",66.7,67.7
MISSISSIPPI,AG1_18_24,283,279,130,46.1,46.7
MISSISSIPPI,AG2_25_34,356,345,203,57.0,58.9
MISSISSIPPI,AG3_35_44,368,358,245,66.5,68.4
MISSISSIPPI,AG4_45_64,763,758,557,72.9,73.5
MISSISSIPPI,AG5_65+,433,431,335,77.3,77.7
MISSOURI,TOTAL,"4,626","4,486","2,906",62.8,64.8
MISSOURI,AG1_18_24,565,540,259,45.9,48.0
MISSOURI,AG2_25_34,757,734,404,53.4,55.1
MISSOURI,AG3_35_44,753,692,418,55.5,60.4
MISSOURI,AG4_45_64,"1,537","1,519","1,065",69.3,70.1
MISSOURI,AG5_65+,"1,013","1,002",759,74.9,75.8
MONTANA,TOTAL,798,790,521,65.2,65.9
MONTANA,AG1_18_24,97,95,38,(B),(B)
MONTANA,AG2_25_34,131,129,65,49.8,50.7
MONTANA,AG3_35_44,114,113,77,67.2,67.8
MONTANA,AG4_45_64,274,272,199,72.5,73.0
MONTANA,AG5_65+,182,182,142,78.1,78.1
NEBRASKA,TOTAL,"1,407","1,336",893,63.4,66.8
NEBRASKA,AG1_18_24,190,180,95,50.1,52.9
NEBRASKA,AG2_25_34,258,238,130,50.4,54.8
NEBRASKA,AG3_35_44,212,191,131,62.0,68.7
NEBRASKA,AG4_45_64,454,438,306,67.3,69.8
NEBRASKA,AG5_65+,293,290,230,78.6,79.5
NEVADA,TOTAL,"2,234","1,975","1,195",53.5,60.5
NEVADA,AG1_18_24,261,229,98,37.6,42.9
NEVADA,AG2_25_34,415,361,183,43.9,50.6
NEVADA,AG3_35_44,365,305,186,50.9,60.9
NEVADA,AG4_45_64,774,678,431,55.6,63.5
NEVADA,AG5_65+,418,402,297,71.2,74.0
NEW HAMPSHIRE,TOTAL,"1,044","1,012",698,66.9,69.0
NEW HAMPSHIRE,AG1_18_24,98,96,55,(B),(B)
NEW HAMPSHIRE,AG2_25_34,157,149,89,56.9,59.8
NEW HAMPSHIRE,AG3_35_44,164,154,102,62.5,66.3
NEW HAMPSHIRE,AG4_45_64,396,386,287,72.3,74.2
NEW HAMPSHIRE,AG5_65+,228,225,165,72.3,73.2
NEW JERSEY,TOTAL,"6,862","5,958","3,665",53.4,61.5
NEW JERSEY,AG1_18_24,849,750,305,35.9,40.7
NEW JERSEY,AG2_25_34,"1,046",814,426,40.7,52.3
NEW JERSEY,AG3_35_44,"1,110",881,566,51.0,64.3
NEW JERSEY,AG4_45_64,"2,474","2,196","1,472",59.5,67.0
NEW JERSEY,AG5_65+,"1,383","1,317",896,64.8,68.0
NEW MEXICO,TOTAL,"1,547","1,396",765,49.4,54.8
NEW MEXICO,AG1_18_24,241,223,91,37.8,40.9
NEW MEXICO,AG2_25_34,215,196,77,36.0,39.5
NEW MEXICO,AG3_35_44,233,183,94,40.3,51.2
NEW MEXICO,AG4_45_64,549,500,283,51.5,56.6
NEW MEXICO,AG5_65+,309,294,220,71.1,74.7
NEW YORK,TOTAL,"15,506","13,751","7,869",50.7,57.2
NEW YORK,AG1_18_24,"1,756","1,590",607,34.6,38.2
NEW YORK,AG2_25_34,"2,952","2,503","1,276",43.2,51.0
NEW YORK,AG3_35_44,"2,528","2,092","1,153",45.6,55.1
NEW YORK,AG4_45_64,"5,070","4,531","2,875",56.7,63.4
NEW YORK,AG5_65+,"3,201","3,035","1,957",61.1,64.5
NORTH CAROLINA,TOTAL,"7,631","6,960","4,700",61.6,67.5
NORTH CAROLINA,AG1_18_24,924,817,414,44.8,50.7
NORTH CAROLINA,AG2_25_34,"1,319","1,111",666,50.5,60.0
NORTH CAROLINA,AG3_35_44,"1,180","1,037",676,57.3,65.2
NORTH CAROLINA,AG4_45_64,"2,712","2,520","1,841",67.9,73.1
NORTH CAROLINA,AG5_65+,"1,496","1,476","1,102",73.7,74.7
NORTH DAKOTA,TOTAL,583,564,362,62.1,64.2
NORTH DAKOTA,AG1_18_24,79,78,37,(B),(B)
NORTH DAKOTA,AG2_25_34,124,117,70,56.2,60.0
NORTH DAKOTA,AG3_35_44,90,87,56,(B),(B)
NORTH DAKOTA,AG4_45_64,192,187,132,68.7,70.3
NORTH DAKOTA,AG5_65+,97,96,67,(B),(B)
OHIO,TOTAL,"8,811","8,499","5,408",61.4,63.6
OHIO,AG1_18_24,"1,075","1,060",425,39.6,40.1
OHIO,AG2_25_34,"1,425","1,276",718,50.4,56.3
OHIO,AG3_35_44,"1,325","1,270",792,59.8,62.3
OHIO,AG4_45_64,"3,061","2,997","2,072",67.7,69.1
OHIO,AG5_65+,"1,925","1,895","1,402",72.8,74.0
OKLAHOMA,TOTAL,"2,923","2,746","1,555",53.2,56.6
OKLAHOMA,AG1_18_24,316,303,102,32.4,33.7
OKLAHOMA,AG2_25_34,563,502,241,42.8,48.0
OKLAHOMA,AG3_35_44,504,457,240,47.5,52.5
