STATE,AGE,POP_TOT,POP_CIT,VOTES_TOT,VRATE_TOT,VRATE_CIT
RHODE ISLAND,AG4_45_64,290,272,185,64.0,68.3
RHODE ISLAND,AG5_65+,158,155,105,66.7,67.7
SOUTH CAROLINA,TOTAL,"3,516","3,380","2,187",62.2,64.7
SOUTH CAROLINA,AG1_18_24,474,451,243,51.3,54.0
SOUTH CAROLINA,AG2_25_34,510,476,293,57.5,61.6
SOUTH CAROLINA,AG3_35_44,601,561,343,57.0,61.1
SOUTH CAROLINA,AG4_45_64,"1,319","1,289",866,65.7,67.2
SOUTH CAROLINA,AG5_65+,612,604,442,72.3,73.2
SOUTH DAKOTA,TOTAL,616,607,370,60.1,61.0
SOUTH DAKOTA,AG1_18_24,95,94,31,32.7,32.9
SOUTH DAKOTA,AG2_25_34,103,101,46,44.6,45.6
SOUTH DAKOTA,AG3_35_44,82,79,53,63.9,66.3
SOUTH DAKOTA,AG4_45_64,204,202,145,70.9,71.5
SOUTH DAKOTA,AG5_65+,132,130,96,72.9,73.7
TENNESSEE,TOTAL,"4,849","4,678","2,606",53.7,55.7
TENNESSEE,AG1_18_24,610,590,207,34.0,35.2
TENNESSEE,AG2_25_34,833,773,395,47.4,51.0
TENNESSEE,AG3_35_44,783,739,402,51.3,54.3
TENNESSEE,AG4_45_64,"1,607","1,563",904,56.3,57.9
TENNESSEE,AG5_65+,"1,016","1,013",698,68.7,68.9
TEXAS,TOTAL,"18,642","16,062","8,643",46.4,53.8
TEXAS,AG1_18_24,"2,538","2,249",572,22.5,25.4
TEXAS,AG2_25_34,"3,695","2,965","1,228",33.2,41.4
TEXAS,AG3_35_44,"3,445","2,748","1,473",42.8,53.6
TEXAS,AG4_45_64,"6,115","5,429","3,399",55.6,62.6
TEXAS,AG5_65+,"2,849","2,671","1,971",69.2,73.8
UTAH,TOTAL,"1,917","1,793","1,022",53.3,57.0
UTAH,AG1_18_24,279,263,97,34.8,36.9
UTAH,AG2_25_34,446,407,194,43.4,47.5
UTAH,AG3_35_44,357,307,161,45.2,52.6
UTAH,AG4_45_64,592,576,375,63.4,65.1
UTAH,AG5_65+,242,240,195,80.4,81.3
VERMONT,TOTAL,496,487,308,62.1,63.3
VERMONT,AG1_18_24,61,59,23,,39.1
VERMONT,AG2_25_34,69,68,30,,44.6
VERMONT,AG3_35_44,78,76,46,59.4,61.2
VERMONT,AG4_45_64,195,193,133,68.5,69.2
VERMONT,AG5_65+,93,91,75,80.6,82.2
VIRGINIA,TOTAL,"6,094","5,645","3,778",62.0,66.9
VIRGINIA,AG1_18_24,695,612,292,42.0,47.7
VIRGINIA,AG2_25_34,"1,192","1,026",605,50.8,59.0
VIRGINIA,AG3_35_44,989,889,634,64.1,71.3
VIRGINIA,AG4_45_64,"2,140","2,050","1,473",68.9,71.9
VIRGINIA,AG5_65+,"1,079","1,069",774,71.7,72.4
WASHINGTON,TOTAL,"5,230","4,832","3,172",60.7,65.6
WASHINGTON,AG1_18_24,563,511,215,38.2,42.1
WASHINGTON,AG2_25_34,"1,017",911,488,48.0,53.6
WASHINGTON,AG3_35_44,916,809,577,62.9,71.3
WASHINGTON,AG4_45_64,"1,660","1,570","1,101",66.4,70.1
WASHINGTON,AG5_65+,"1,074","1,032",791,73.7,76.7
WEST VIRGINIA,TOTAL,"1,452","1,442",690,47.5,47.8
WEST VIRGINIA,AG1_18_24,163,162,37,22.6,22.7
WEST VIRGINIA,AG2_25_34,213,210,66,31.1,31.6
WEST VIRGINIA,AG3_35_44,237,237,111,47.0,47.0
WEST VIRGINIA,AG4_45_64,479,475,253,52.9,53.3
WEST VIRGINIA,AG5_65+,361,359,222,61.5,61.8
WISCONSIN,TOTAL,"4,352","4,247","3,127",71.9,73.6
WISCONSIN,AG1_18_24,539,513,287,53.3,56.0
WISCONSIN,AG2_25_34,699,662,438,62.6,66.1
WISCONSIN,AG3_35_44,714,695,514,72.0,73.9
WISCONSIN,AG4_45_64,"1,552","1,532","1,192",76.8,77.8
WISCONSIN,AG5_65+,847,845,697,82.2,82.4
WYOMING,TOTAL,427,419,247,57.8,58.9
WYOMING,AG1_18_24,56,55,18,,32.3
WYOMING,AG2_25_34,73,71,39,,54.3
WYOMING,AG3_35_44,68,66,36,,54.5
WYOMING,AG4_45_64,155,154,95,61.1,61.8
WYOMING,AG5_65+,74,73,59,,81.1
